,Area,Classification
449,BE_64034,2
450,BE_64047,0
451,BE_64056,0
452,BE_64063,0
453,BE_64065,0
454,BE_64074,2
455,BE_64075,0
456,BE_64076,0
457,BE_71002,2
458,BE_71004,3
459,BE_71011,2
460,BE_71016,3
461,BE_71017,2
462,BE_71020,2
463,BE_71022,3
464,BE_71024,2
465,BE_71034,2
466,BE_71037,1
467,BE_71045,0
468,BE_71047,2
469,BE_71053,1
470,BE_71057,1
471,BE_71066,2
472,BE_71067,2
473,BE_71069,2
474,BE_71070,1
475,BE_72003,2
476,BE_72004,1
477,BE_72018,2
478,BE_72020,3
479,BE_72021,1
480,BE_72025,2
481,BE_72029,1
482,BE_72030,1
483,BE_72037,2
484,BE_72038,1
485,BE_72039,1
486,BE_72040,1
487,BE_72041,1
488,BE_73001,2
489,BE_73006,1
490,BE_73009,2
491,BE_73022,2
492,BE_73028,0
493,BE_73032,2
494,BE_73040,2
495,BE_73042,1
496,BE_73066,2
497,BE_73083,1
498,BE_73098,0
499,BE_73107,1
500,BE_73109,2
501,BE_81001,1
502,BE_81003,2
503,BE_81004,2
504,BE_81013,2
505,BE_81015,2
506,BE_82003,1
507,BE_82005,2
508,BE_82009,2
509,BE_82014,1
510,BE_82032,1
511,BE_82036,2
512,BE_82037,2
513,BE_82038,2
514,BE_83012,1
515,BE_83013,2
516,BE_83028,2
517,BE_83031,2
518,BE_83034,1
519,BE_83040,2
520,BE_83044,2
521,BE_83049,2
522,BE_83055,2
523,BE_84009,2
524,BE_84010,1
525,BE_84016,2
526,BE_84029,0
527,BE_84033,2
528,BE_84035,2
529,BE_84043,2
530,BE_84050,2
531,BE_84059,2
532,BE_84068,2
533,BE_84075,2
534,BE_84077,1
535,BE_85007,2
536,BE_85009,2
537,BE_85011,2
538,BE_85024,0
539,BE_85026,0
540,BE_85034,0
541,BE_85039,2
542,BE_85045,2
543,BE_85046,2
544,BE_85047,0
545,BE_91005,1
546,BE_91013,1
547,BE_91015,2
548,BE_91030,1
